"ID","quadratic_converged","log_quadratic_converged","logistic_converged","log_logistic_converged","gompertz_converged","log_gompertz_converged","AIC_quadratic","AIC_log_quadratic","AIC_logistic","AIC_log_logistic","AIC_gompertz","AIC_log_gompertz","BIC_quadratic","BIC_log_quadratic","BIC_logistic","BIC_log_logistic","BIC_gompertz","BIC_log_gompertz","R2_quadratic","R2_log_quadratic","R2_logistic","R2_log_logistic","R2_gompertz","R2_log_gompertz","AICc_quadratic","AICc_log_quadratic","AICc_logistic","AICc_log_logistic","AICc_gompertz","AICc_log_gompertz"
196,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,131.806251795732,2.74599816312515,NA,6.16034031869115,127.899913295408,6.93128927577432,133.016592167709,3.95633853510134,NA,7.37068069066733,129.412838760378,8.44421474074455,0.754730220736924,0.990809085152992,NA,0.987068713371477,0.864126420007211,0.988564247971939,135.806251795732,6.74599816312515,NA,10.1603403186911,135.899913295408,14.9312892757743
181,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,181.082269327857,25.1595382382086,NA,13.9652148845766,163.55090114791,1.06922606932444,183.342066757703,27.4193356680548,NA,16.2250123144228,166.375647935218,3.89397285663212,0.923055760267582,0.973041701634214,NA,0.98860483240196,0.982872796227989,0.996376849043731,183.748935994523,27.8262049048753,NA,16.6318815512433,168.55090114791,6.06922606932444
184,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,185.304819120379,14.4831795609089,NA,13.4947669255738,151.045072278875,10.9835261672668,187.244445719531,16.4228061600609,NA,15.4343935247258,153.469605527815,13.4080594162068,0.962761927792571,0.987788349871971,NA,0.988753885344975,0.998185724681874,0.99227790287748,188.304819120379,17.4831795609089,NA,16.4947669255738,156.75935799316,16.6978118815525
187,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,130.794156539765,8.90185515201054,NA,-0.760811542590222,111.900914430791,-3.83086543339705,131.58305484911,9.69075346135542,NA,0.0280867667546563,112.887037317472,-2.84474254671595,0.978036518026919,0.991356743204392,NA,0.997046030606578,0.997844743335274,0.998318291061327,135.594156539765,13.7018551520105,NA,4.03918845740978,121.900914430791,6.16913456660295
191,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,120.303615034803,29.061681512255,NA,-5.51230638357363,111.65798026237,-9.6443947038888,121.895196125997,30.6532626034484,NA,-3.92072529238015,113.647456626362,-7.65491833989695,0.915252480297615,0.924433764462729,NA,0.996739372195739,0.967802413366492,0.998132767888164,123.732186463375,32.4902529408264,NA,-2.0837349550022,118.324646929036,-2.97772803722213
194,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,75.5843594999776,15.8214341089396,NA,1.3123495164305,69.8194483791377,5.6356493343044,75.3680000961989,15.6050747051609,NA,1.09599011265175,69.5489991244143,5.36520007958097,0.783885510258984,0.953833497321492,NA,0.994190304763454,0.928725736958621,0.991903530613173,83.5843594999776,23.8214341089396,NA,9.3123495164305,89.8194483791377,25.6356493343044
197,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,118.046639229629,14.6977101254587,NA,-9.27904967053474,99.7746373153483,-2.54152967500103,119.638220320822,16.2892912166522,NA,-7.68746857934125,101.76411367934,-0.552053311009178,0.850741186691394,0.971361056728119,NA,0.996761656257612,0.976363963062689,0.995018427299779,121.4752106582,18.1262815540301,NA,-5.85047824196331,106.441303982015,4.12513699166564
182,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,153.367320308149,26.3279636953873,NA,3.83453914950008,141.938799717641,-2.09843251492954,155.627117737995,28.5877611252335,NA,6.09433657934622,144.763546504948,0.72631427237814,0.863867802137533,0.956497565644008,NA,0.992289727951292,0.951543652826585,0.995811574521357,156.033986974816,28.994630362054,NA,6.50120581616674,146.938799717641,2.90156748507046
185,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,131.858145447268,-2.01892025383587,NA,7.18921051692585,118.816472982541,-7.83215448421064,133.79777204642,-0.0792936546838714,NA,9.12883711607785,121.241006231481,-5.40762123527064,0.986665124181565,0.994922861545851,NA,0.98906365072125,0.996192738593486,0.997352422809881,134.858145447268,0.981079746164127,NA,10.1892105169259,124.530758696827,-2.11786876992493
188,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,89.3156309663323,-1.80246767129514,NA,1.2782512698039,81.9659734887546,-6.06210112789468,89.6333971330517,-1.4847015045758,NA,1.59601743652324,82.3631811971538,-5.6648934194955,0.976204005033212,0.996271395593953,NA,0.994519897104113,0.992604955578467,0.998294974907403,95.3156309663323,4.19753232870486,NA,7.2782512698039,95.299306822088,7.27123220543865
189,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,138.316228333469,26.5833087755823,NA,7.68695481512937,140.607899989703,9.62934477585921,139.526568705445,27.7936491475585,NA,8.89729518710555,142.120825454673,11.1422702408294,0.963112304381006,0.952640684810026,NA,0.992842733496998,0.96202055056858,0.992883847993329,142.316228333469,30.5833087755823,NA,11.6869548151294,148.607899989703,17.6293447758592
